movieId,Directors,Budget,Gross worldwide,Runtime,Genres,Title
"55444","Anton Corbijn","4860000.0","8159508","122","Biography,Drama,Music","Контроль"
"55442","Vincent Paronnaud,Marjane Satrapi","7300000","22783978","96","Animation,Biography,Drama","Персеполис"
"55391","Bobby Moresco","8000000","143451","107","Crime,Drama,Thriller","Пересечение 10-й и Вульф"
"55363","Andrew Dominik","30000000","15003764","160","Biography,Crime,Drama","Как трусливый Роберт Форд убил Джесси Джеймса"
"55294","Allan Moyle","0","9700","90","Comedy,Crime,Drama","Роковой город"
"55292","Tom Brady","20000000","13539154","107","Comedy,Sport","Мстители"
"55290","Ben Affleck","19000000","34612443","114","Crime,Drama,Mystery","Прощай, детка, прощай"
"55282","David Slade","30000000","75513170","113","Action,Horror,Thriller","30 Дней ночи"
"55280","Craig Gillespie","12000000","11293663","106","Comedy,Drama,Romance","Ларс и настоящая девушка"
"55278","Kenneth Branagh","0","4889751","88","Crime,Drama,Mystery","Сыщик"
"55276","Tony Gilroy","25000000","92991835","119","Crime,Drama,Mystery","Майкл Клейтон"
"55274","Shekhar Kapur","55000000","75782758","114","Biography,Drama,History","Золотой век"
"55272","James Gray","21000000","55033767","117","Action,Crime,Drama","Хозяева ночи"
"55269","Wes Anderson","16000000","35082468","91","Adventure,Comedy,Drama","Поезд на Дарджилинг. Отчаянные путешественники"
"55267","Peter Hedges","25000000","68474305","98","Comedy,Drama,Romance","Влюбиться в невесту брата"
"55261","Bobby Farrelly,Peter Farrelly","60000000","128453183","116","Comedy,Romance","Девушка моих кошмаров"
"55259","David L. Cunningham","45000000","31852619","99","Adventure,Drama,Family","Boсход тьмы"
"55253","Ang Lee","15000000","67091915","157","Drama,History,Romance","Вожделение"
"55250","Andy Fickman","22000000","147880543","110","Comedy,Family,Sport","План игры"
"55247","Sean Penn","15000000","56676733","148","Adventure,Biography,Drama","В диких условиях"
"55245","Mark Helfrich","25000000","59768495","101","Comedy,Romance","Удачи, Чак!"
"55241","Craig Gillespie","22000000","33683200","87","Comedy,Romance,Sport","Мистер Простофиля"
"55232","Russell Mulcahy","45000000","147717833","94","Action,Horror,Sci-Fi","Обитель зла 3"
"55207","Sean Ellis","37800.0","0","18","Short,Comedy,Drama","Вoзврат денег"
"55205","Steve Buscemi","0","1469644","84","Drama","Интервью"
"55190","Alek Keshishian","0","6369805","90","Comedy,Drama,Romance","Любовь и другие катастрофы"
"55167","Michael Arias,Hiroaki Andô","4200000","42840","111","Animation,Action,Adventure","Железобетон"
"55156","Henriette Mantel,Steve Skrovan","0","176647","122","Documentary,Biography","Неблагоразумный человек"
"55118","David Cronenberg","31500000.0","56107312","100","Crime,Drama,Thriller","Порок на экспорт"
"55116","Richard Shepard","25000000","7674033","101","Adventure,Comedy,Drama","Охота Ханта"
"55112","Kern Konwiser,David Ren","0","0","106","Comedy,Drama,Romance","Шанхайский поцелуй"
"55110","Rod Hardy","4000000","1175579","105","Drama,Romance","Декабрьские мальчики"
"55094","Paul Haggis","0","29541790","121","Crime,Drama,Mystery","В долине Эла"
"55080","Neil Jordan","70000000","69787394","122","Action,Crime,Drama","Отважная"
"55071","Charles Ferguson","2000000","1433319","102","Documentary,War","Конца и края нет"
"55069","Cristian Mungiu","637200.0","10174839","113","Drama","4 мeсяца, 3 недели и 2 дня"
"55067","Hans-Christian Schmid","0","513737","93","Drama,Horror","Реквием"
"55061","Thomas Bangalter,Guy-Manuel De Homem-Christo","0","9540","74","Adventure,Drama,Sci-Fi","Электрома"
"55052","Joe Wright","30000000","129266061","123","Drama,Mystery,Romance","Искупление"
"55036","Robert Harmon","0","0","117","Biography,Crime,Drama","Готти"
"55020","David Wain","5250000","785528","96","Comedy,Romance","Десять заповедей"
"54999","Michael Davis","39000000","27122238","86","Action,Comedy,Thriller","Пристрели их"
"54997","James Mangold","55000000","70016220","122","Action,Crime,Drama","Поезд на Юму"
"54995","Robert Rodriguez","0","11446172","105","Action,Comedy,Horror","Планета страха"
"54962","John August","0","130880","100","Drama,Fantasy,Mystery","Девятки"
"54934","Bob Odenkirk","10000000","1035056","93","Comedy","Братья Соломон"
"54910","Scott Glosserman","0","69136","92","Comedy,Horror,Thriller","Под маской: Восхождение Лесли Вернона"
"54908","Gérard Krawczyk","0","65125001","91","Action,Comedy,Crime","Такси 4"
"54881","Seth Gordon","0","790128","79","Documentary,Biography,Sport","Король Конга"
"54796","Julie Delpy","0","19776159","96","Comedy,Drama,Romance","2 дня в Париже"
