movieId,Directors,Budget,Gross worldwide,Runtime,Genres,Title
"2660","Christian Nyby,Howard Hawks","1600000","0","87","Horror,Sci-Fi","The Thing from Another World"
"2659","Malcolm Leo,Andrew Solt","2000000","2573342","80","Documentary,Comedy","It Came from Hollywood"
"2657","Jim Sharman","1200000","115630976","100","Comedy,Horror,Musical","Шоу ужасов Рокки Хоррора"
"2656","Jack Arnold","0","0","80","Horror,Sci-Fi","Тарантул"
"2655","Philippe Mora","0","0","91","Horror,Thriller","Howling II: Stirba - Werewolf Bitch"
"2654","George Waggner","180000","420","70","Horror,Mystery,Romance","The Wolf Man"
"2652","Terence Fisher","81900.0","0","82","Horror,Sci-Fi,Thriller","The Curse of Frankenstein"
"2651","Roy William Neill","0","0","74","Fantasy,Horror,Sci-Fi","Frankenstein Meets the Wolf Man"
"2648","James Whale","291000","1626","70","Drama,Horror,Sci-Fi","Frankenstein"
"2644","Tod Browning,Karl Freund","355000","87019","75","Drama,Fantasy,Horror","Dracula"
"2643","Sidney J. Furie","17000000","30281020","90","Action,Adventure,Sci-Fi","Супермен 4: В поисках мира"
"2642","Richard Lester","39000000","80250623","125","Action,Adventure,Comedy","Супермен III"
"2641","Richard Lester","54000000","216385706","127","Action,Adventure,Sci-Fi","Супермен 2"
"2640","Richard Donner","55000000","300478449","143","Action,Adventure,Sci-Fi","Супермен"
"2639","0","0","0","0","0","0"
"2634","Terence Fisher","157500.0","0","86","Adventure,Horror","The Mummy"
"2633","Karl Freund","196000","58","73","Fantasy,Horror","The Mummy"
"2632","Wojciech Has","0","13377","182","Adventure,Comedy,Drama","Rekopis znaleziony w Saragossie"
"2630","Bernardo Bertolucci","0","2048740","93","Drama,Romance","Осажденные"
"2629","Peter Ho-Sun Chan","20000000","9139145","88","Comedy,Drama,Romance","Любовное послание"
"2628","George Lucas","115000000","1027083462","136","Action,Adventure,Fantasy","Звёздные войны: Эпизод I - Скрытая угроза"
"2625","Daniel Lee","0","12504289","99","Action,Adventure,Comedy","Чeрная маска"
"2624","Kore-eda Hirokazu","0","801985","119","Drama,Fantasy","После жизни"
"2623","David Raynr","3000000","9017070","94","Comedy","Оболтус"
"2622","Michael Hoffman","11000000","16071990","116","Comedy,Fantasy,Romance","Сон в летнюю ночь"
"2620","Paul Quinn","0","1083975","119","Drama,Romance","Все о моем отце"
"2618","0","0","0","0","0","0"
"2617","Stephen Sommers","80000000","416064056","124","Action,Adventure,Fantasy","Мумия"
"2616","Warren Beatty","47000000","162738726","105","Action,Comedy,Crime","Дик Трэйси"
"2615","Jonathan R. Betuel","0","4122748","94","Action,Adventure,Comedy","My Science Project"
"2614","Jim Wynorski","800000","0","77","Horror,Sci-Fi","Chopping Mall"
"2613","Thom Eberhardt","700000","14418922","95","Comedy,Horror,Sci-Fi","Night of the Comet"
"2612","Michael Curtiz","1453000","10128","111","Crime,Drama,Film-Noir","Mildred Pierce"
"2611","David Mamet","0","3957934","104","Drama,Romance","Приговор"
"2609","Tian-Ming Wu","0","1113103","91","Drama","Король масок"
"2607","Simon Shore","0","1176597","108","Comedy,Drama,Romance","Будь собой"
"2606","Rodman Flender","25000000","4152230","92","Comedy,Fantasy,Horror","Рука-убийца"
"2605","Jon Amiel","66000000","212404396","113","Action,Crime,Romance","Западня"
"2600","David Cronenberg","15000000","2856712","97","Horror,Mystery,Sci-Fi","Экзистенция"
"2599","Alexander Payne","25000000","14902280","103","Comedy,Romance","Выскочка"
"2598","Mike Newell","33000000","8408835","124","Comedy,Drama,Romance","Управляя полётами"
"2597","Jeff Pollack","30000000","6552255","100","Comedy,Romance","Счастливая пропажа"
"2596","James Merendino","0","299569","97","Comedy,Drama,Music","Панк из Солт-Лейк-Сити"
"2594","Alejandro Amenábar","2400844.9","377967","119","Drama,Mystery,Sci-Fi","Открой глаза"
"2593","Roberto Benigni","0","638645","112","Comedy,Crime,Mystery","Монстр"
"2590","Gillies MacKinnon","12000000","1263279","98","Adventure,Drama,Romance","Экспресс в Марракеш"
"2589","George Haas","0","33543","103","Comedy,Drama,Romance","Друзья и любовники"
"2587","Ted Demme","80000000","73475268","108","Comedy,Crime,Drama","Пожизненно"
"2586","Roland Joffé","20000000","1940299","102","Comedy,Crime,Mystery","Прощай, любовник"
"2585","Julio Medem","0","357549","112","Drama,Mystery,Romance","Любовники полярного круга"
