movieId,Directors,Budget,Gross worldwide,Runtime,Genres,Title
"745","Nick Park","0","0","30","Animation,Short,Comedy","Уоллес и Громит: Выбрить наголо"
"743","Rick Friedberg","18000000","26960191","81","Action,Comedy","Неистребимый шпион"
"742","Tom Holland","8000000","15315484","93","Fantasy,Horror","Худеющий"
"741","Mizuho Nishikubo,Mamoru Oshii","2178000.0","919872","83","Animation,Action,Crime","Призрак в доспехах"
"737","David Hogan","9000000","3793614","98","Action,Sci-Fi","Не называй меня малышкой"
"736","Jan de Bont","92000000","494580615","113","Action,Adventure,Thriller","Смерч"
"735","Michele Soavi","4000000","253986","105","Comedy,Horror","О смерти, о любви"
"733","Michael Bay","75000000","335062621","136","Action,Adventure,Thriller","Скала"
"731","Phil Joanou","25000000","5009305","132","Drama,Mystery,Thriller","Пленники небес"
"728","John Schlesinger","0","5682429","105","Comedy,Romance","Неуютная ферма"
"726","Bruce Beresford","0","5939449","103","Drama,Thriller","Последний танец"
"725","Reginald Hudlin","0","8008255","91","Comedy,Sport","Большой белый обман"
"724","0","0","0","0","0","0"
"722","Brett Thompson","0","0","89","Documentary,Biography,Horror","The Haunted World of Edward D. Wood Jr."
"720","0","0","0","0","0","0"
"719","Harold Ramis","45000000","21075014","117","Comedy,Romance,Sci-Fi","Множество"
"718","Jean-Marie Poiré","8000000.0","659810","107","Comedy,Fantasy","Пришельцы"
"715","Jean-Paul Rappeneau","0","1320043","135","Adventure,Drama,Romance","Гусар на крыше"
"714","Jim Jarmusch","9000000","1085079","121","Adventure,Drama,Fantasy","Мертвец"
"711","Alan Shapiro","25530000","20080020","95","Adventure,Crime,Drama","Флиппер"
"710","Tom DeCerchio","0","9255027","91","Comedy,Sport","Баскетбольная лихорадка"
"709","George Scribner","31000000","74151346","74","Animation,Adventure,Comedy","Оливер и компания"
"708","Michael Lehmann","0","34861807","97","Comedy,Romance","Правда о кошках и собаках"
"707","Lee Tamahori","29000000","11526099","107","Crime,Drama,Mystery","Скала Малхолланд"
"706","Steve Gomer","0","10163782","99","Drama,Sport","Парк Сансет"
"704","Jean-Claude Van Damme","30000000","57400547","95","Action,Adventure,Drama","В поисках приключений"
"703","Stacy Cochran","0","516349","86","Drama,Mystery,Romance","Парни"
"700","Patrick Read Johnson","0","4821759","90","Comedy,Drama","Станцуем, крошка"
"698","Zalman King","0","63174","102","Drama","Дельта Венеры"
"697","Steven Baigelman","0","3124440","99","Comedy,Crime,Drama","Чувствуя Миннесоту"
"695","Pat Verducci","0","0","94","Crime,Drama,Mystery","Настоящее преступление"
"694","Robert Mandel","0","14818176","114","Action,Crime,Drama","Замена"
"692","Norberto Barba","19000000","5107669","94","Action,Sci-Fi,Thriller","Соло"
"691","Richard Benjamin","25000000","10082005","105","Comedy,Drama,Romance","Миссис Уинтерборн"
"688","Simon Wincer","0","24670346","107","Action,Adventure,Comedy","Операция 'Слон'"
"685","Randal Kleiser","0","622503","110","Drama,Romance","Это моя вечеринка"
"680","Jean-Luc Godard","220000","65597","99","Drama,Mystery,Sci-Fi","Альфавилль"
"679","Peter Yates","0","0","109","Drama,Romance","The Run of the Country"
"678","George Hickenlooper","0","0","25","Short,Drama,Thriller","Некоторые люди называет это отточенным лезвием"
"674","Roger Vadim","9000000","0","98","Adventure,Comedy,Fantasy","Barbarella"
"673","Joe Pytka","80000000","230594962","88","Animation,Adventure,Comedy","Космический джем"
"671","Jim Mallon","0","1007306","73","Comedy,Drama,Fantasy","Таинственный театр 3000 года"
"670","Satyajit Ray","0","134241","105","Drama","Apur Sansar"
"668","Satyajit Ray","0","135342","125","Drama","Pather Panchali"
"667","Alan Mehrez,Philip Tan","0","684351","90","Action,Sport","Кровавый спорт 2"
"665","Emir Kusturica","14000000","171082","170","Comedy,Drama,Fantasy","Андеграунд"
"663","Kelly Makin","0","2654308","89","Comedy","Таблетка радости"
"662","James Foley","0","20831000","97","Drama,Thriller","Страх"
"661","Henry Selick","38000000","28946127","79","Animation,Adventure,Family","Джеймс и гигантский персик"
"656","Steve Rash","30000000","31387164","100","Comedy,Sport","Эдди"
