movieId,Directors,Budget,Gross worldwide,Runtime,Genres,Title
"27478","Mark Mylod","6300000.0","23280529","85","Comedy","Али Джи в парламенте"
"27473","Morgan J. Freeman","10000000","0","88","Horror,Thriller","Американский психопат 2: Стопроцентная американка"
"27450","Jan Kounen","38988000.0","6482919","124","Adventure,Fantasy,Western","Блуберри"
"27441","Hiroyuki Kitakubo","0","0","48","Animation,Action,Horror","Кровь: Последний вампир"
"27434","Jaume Balagueró","10600000","33988736","88","Horror","Тьма"
"27426","Teddy Chan","24000000.0","790144","108","Action,Comedy,Crime","Случайный шпион"
"27420","Lynn Hershman Leeson","0","28811","85","Comedy,Drama,Romance","Техносекс"
"27416","Josef Fares","0","871351","88","Comedy,Drama,Romance","Давай! Давай!"
"27408","Liliana Cavani","30000000","6200970","110","Crime,Drama,Mystery","Игра Рипли"
"27397","Park Chan-wook","0","124071","110","Action,Drama,Thriller","Объединённая зона безопасности"
"27373","Billy Crystal","0","0","129","Biography,Drama,History","61: История рекорда"
"27370","Saul Metzstein","0","1743","91","Comedy","За покупками на ночь глядя"
"27369","Karen Disher,Guy Moore","0","0","75","Animation,Comedy","А скоро осень?"
"27368","Alain Chabat","52320000.0","131116046","107","Adventure,Comedy,Family","Астерикс и Обеликс: Миссия Клеопатра"
"27329","Joe Berlinger,Bruce Sinofsky","0","0","130","Documentary,Crime","Потерянный рай 2"
"27328","Sabu","0","9017","100","Action,Comedy,Crime","Понедельник"
"27320","Ben Hopkins","0","8488","87","Comedy,Drama,Fantasy","Девять жизней Томаса Катца"
"27317","Takashi Miike","0","359853","115","Drama,Horror,Mystery","Кинопроба"
"27311","Curt Geda","0","0","76","Animation,Action,Crime","Бэтмен будущего: Возвращение Джокера"
"27306","Jonathan Parker","0","148479","83","Comedy,Drama,Mystery","Бартлби"
"27266","Kar-Wai Wong","12000000","20207146","129","Drama,Romance,Sci-Fi","2046"
"27255","Abbas Kiarostami","0","259510","118","Drama","Нас унесет ветер"
"27251","0","0","0","42","Adventure,Comedy,Family","Десятое королевство"
"27246","Jane Anderson,Martha Coolidge,Anne Heche","0","0","96","Drama,Romance","Если бы эти стены могли говорить 2"
"27193","Gérard Krawczyk","11200000.0","60726164","88","Action,Comedy,Crime","Такси 2"
"27186","Michel Ocelot,Raymond Burlet","4104000.0000000005","281179","71","Animation,Adventure,Family","Кирику и Колдунья"
"27178","Fatih Akin","2757630.0","34245","99","Adventure,Comedy,Romance","Солнце Ацтеков"
"27176","Tony Silver","0","0","69","Documentary,Music","Style Wars"
"27156","Hideaki Anno,Kazuya Tsurumaki","0","1563523","87","Animation,Action,Drama","Конец Евангелиона"
"27155","Toshihiko Masuda","0","0","64","Animation,Action,Adventure","Бэтмен и Супермен. Фильм"
"27140","Turi Meyer","0","0","93","Horror,Thriller","Кэндимэн 3: День мертвых"
"27134","Pitof","24320000.0","13240767","98","Action,Crime,Fantasy","Видок"
"27124","Nicolas Winding Refn","0","0","98","Crime,Drama","Истекающий кровью"
"27105","Uli Edel","0","0","94","Drama,Fantasy,Western","Чистилище"
"27075","Dave Payne","0","0","91","Comedy,Family,Fantasy","Воссоединение семейки Аддамс"
"27074","Leslie Libman,Larry Williams","0","0","87","Drama,Sci-Fi","Дивный новый мир"
"27036","0","0","0","182","Action,Adventure,Drama","Великий Мерлин"
"27032","Benny Chan,Jackie Chan","0","0","120","Action,Adventure,Comedy","Кто я?"
"27022","Skip Woods","0","3121","87","Action,Comedy,Crime","Кровавый четверг"
"27020","Michael Cristofer","0","0","120","Biography,Drama,Romance","Джиа"
"27008","Scott Spiegel","5000000","6374","88","Crime,Horror,Thriller","От заката до рассвета 2: Кровавые деньги из Техаса"
"27006","Benjamin Ross","12000000","0","86","Biography,Drama","Проект 281"
"27003","Graham Baker","3500000","102744","95","Action,Adventure,Fantasy","Беовульф"
"27002","0","0","0","60","Action,Drama,History","С Земли на Луну"
"26999","Darrell Rooney,Rob LaDuca","0","0","81","Animation,Adventure,Drama","Король Лев 2: Гордость Симбы"
"26985","Gabriele Salvatores","0","0","113","Action,Drama,Sci-Fi","Нирвана"
"26974","Harmony Korine","1300000","116799","89","Comedy,Drama","Гуммо"
"26965","Jim Sheridan","0","16534578","113","Drama,Romance,Sport","Боксер"
"26958","Diarmuid Lawrence","0","0","107","Comedy,Drama,Romance","Эмма"
"26947","Nicolas Winding Refn","840000.0000000001","1605","110","Crime,Thriller","Дилер"
